識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間,folder
news_5420189686e4c51570256f3e87796291,維安疏失致川普遇刺 美特勤局長辭職：責任在我,國際焦點,2024-07-23 19:41:32+00:00,（中央社記者鍾佑貞華盛頓23日專電）川普日前造勢時遭槍擊，根據華郵取得的特勤局局長奇鐸辭職信副本，她今天宣布辭職，並寫道，「我對這次安全漏洞負全責」，「鑑於最近的事件，我抱著沉重的心情做出了辭職的艱難決定」。,https://www.cna.com.tw/news/aopl/202407240013.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,07/31/2024 12:19:37,國際新聞
news_a5753b6c0ae9321603b4c6dc2bef221d,川普幕僚動手推阿靈頓公墓官員 美國陸軍批不當攻擊,國際焦點,2024-08-30 06:34:27+00:00,（中央社華盛頓29日綜合外電報導）美國共和黨總統候選人川普日前拜訪阿靈頓國家公墓時意外惹風波，陸軍今天將矛頭指向川普的幕僚動手推公墓官員。,https://www.cna.com.tw/news/aopl/202408300180.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/06/2024 12:19:40,國際新聞
news_6b37845f5d79860179a407b6c7175e4b,共和黨世家表態 小布希之女芭芭拉宣布支持賀錦麗,國際焦點,2024-10-30 14:00:57+00:00,（中央社華盛頓29日綜合外電報導）芭芭拉．布希（Barbara Bush）表態支持美國副總統賀錦麗，她的父親與祖父是川普（Donald Trump）前任的共和黨籍總統，但她現在選擇支持川普的民主黨競爭對手。,https://www.cna.com.tw/news/aopl/202410300499.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/06/2024 12:39:06,國際新聞
news_c753b54720c6244e9f94dd22009a61a1,美總統大選墮胎議題難主導 民眾身體自主權前先顧飯碗,國際焦點,2024-10-31 00:17:07+00:00,（中央社記者廖漢原紐約31日專電）女性身體自主與墮胎權是美國總統選舉重要議題，有利於民主黨女性總統候選人賀錦麗，各州陸續出現保護墮胎權利的州憲法修正案公投，希望鼓勵支持者走進投票所；但相對於經濟與移民，關鍵搖擺州選民明顯出現總統與墮胎議題的分裂投票模式。,https://www.cna.com.tw/news/aopl/202410310030.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/07/2024 12:28:52,國際新聞
news_face7ad8567129b1b45acb798d08d853,美總統大選攻防芬太尼危機 母親們痛失愛子挺身而出,國際焦點,2024-11-01 01:51:30+00:00,（中央社記者張欣瑜舊金山1日專電）美國芬太尼危機受疫情衝擊失控，許多母親痛失愛子，有人怪罪拜登政府對邊境安全沒有作為是罪魁禍首，也有人認為共和黨推動錯誤論述對解決危機毫無幫助。,https://www.cna.com.tw/news/aopl/202411010046.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/08/2024 12:25:32,國際新聞
news_04f54fdcea0486b721fefa879d8a0ba9,川普爭取基督徒支持 指責賀錦麗「反猶太」,國際焦點,2024-07-27 10:00:28+00:00,（中央社佛州西棕櫚灘26日綜合外電報導）美國共和黨總統候選人川普今天在一場爭取宗教信徒支持的演講中，指責民主黨競選對手賀錦麗（Kamala Harris）奉行反猶太主義，即便她的丈夫本身就是猶太人。,https://www.cna.com.tw/news/aopl/202407270200.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,08/03/2024 12:17:33,國際新聞
news_6814a27612e1bec5da741bc65451c57b,川普籲封口費案量刑宣判延至大選後 檢方：法官決定,國際焦點,2024-08-20 08:22:19+00:00,（中央社紐約19日綜合外電報導）針對美國前總統川普（Donald Trump）提出延後封口費案量刑宣判的請求，紐約檢察官表示他們不反對，一切由主審法官決定。,https://www.cna.com.tw/news/aopl/202408200233.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,08/27/2024 12:20:39,國際新聞
news_e094038c1ee288ce837507e3bc5a67ad,誰當美總統對克宮都沒差？路透：俄官媒明顯青睞川普,國際焦點,2024-10-22 13:05:00+00:00,（中央社莫斯科22日綜合外電報導）包括俄羅斯總統蒲亭在內的俄國官員表示，不管是誰從美國總統大選中勝出，對莫斯科來說都沒有區別。但任何看過俄國官媒報導美國選舉的人，都會得出川普受到強烈青睞的結論。,https://www.cna.com.tw/news/aopl/202410220400.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/29/2024 12:21:24,國際新聞
news_fa0127103bfb3ebb78f7d7ef38505068,賀錦麗多族裔身分 反映美國人口演變趨勢,國際焦點,2024-08-23 02:56:27+00:00,（中央社芝加哥22日綜合外電報導）美國民主黨總統候選人賀錦麗（Kamala Harris）的父親來自牙買加，母親生於印度，兩人都是移民，賀錦麗的出身反映出美國不斷變化的人口組成。,https://www.cna.com.tw/news/aopl/202408230050.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,08/30/2024 12:18:59,國際新聞
news_1ef6ff3566c5fb4bbb20ba2ce74e4837,路透社民調：賀錦麗贏川普3個百分點 領先幅度縮小,國際焦點,2024-10-09 11:39:37+00:00,（中央社華盛頓9日綜合外電報導）根據路透社/益普索（Reuters/Ipsos）最新民調顯示，美國民主黨總統候選人賀錦麗在11月5日大選的支持率以46%比43%領先共和黨對手川普，領先幅度為3個百分點，較之前縮小。,https://www.cna.com.tw/news/aopl/202410090406.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/16/2024 12:26:10,國際新聞
news_157ccca5ec820f2dab1e0b2394ab368f,與川普對談直播出狀況 馬斯克：遭遇大規模網攻,國際焦點,2024-08-13 03:15:54+00:00,（中央社洛杉磯12日綜合外電報導）億萬富翁馬斯克（Elon Musk）今天表示，他與共和黨籍總統候選人川普在社群媒體平台X上的訪談遭遇網路攻擊。,https://www.cna.com.tw/news/aopl/202408130057.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,08/20/2024 12:20:13,國際新聞
news_156c65ca5a50e0dde9c6842f926bc19b,美國大選逼近 共和黨緊咬移民議題白宮提反駁,國際焦點,2024-09-20 01:58:54+00:00,（中央社記者石秀娟華盛頓19日專電）美國大選逼近，共和黨緊咬近年非法入境移民暴增議題，近日公佈報告稱，無證移民人數在總統拜登任內將破千萬，較前總統川普任內成長274%。白宮則說，7月非法入境人數已降至低於川普時代。,https://www.cna.com.tw/news/aopl/202409200044.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/27/2024 12:24:58,國際新聞
news_b94369f6405830094a7bb91873e0e95e,共和黨人倒戈 美前副總統錢尼父女喊票投賀錦麗,國際焦點,2024-09-07 04:26:12+00:00,（中央社華盛頓5日綜合外電報導）美國共和黨籍前副總統錢尼今天表示，他將在11月5日總統選舉票投民主黨候選人賀錦麗，而非黨內候選人川普。錢尼此舉呼應女兒麗茲日前做出的相同表態。,https://www.cna.com.tw/news/aopl/202409070081.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/14/2024 12:21:13,國際新聞
news_e4b8e357f2b5206ac53f2f018a31c4a1,開票夜川普在佛州豪宅辦派對 賀錦麗返母校觀選情,國際焦點,2024-11-05 19:34:26+00:00,（中央社紐約5日綜合外電報導）有線電視新聞網（CNN）引述若干消息來源報導，共和黨候選人川普將偕同家人和朋友在佛羅里達州豪宅海湖俱樂部看開票。他的對手賀錦麗則會回華府母校舉行開票之夜。,https://www.cna.com.tw/news/aopl/202411060007.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/13/2024 12:20:15,國際新聞
news_8196f3798189008bb68d77937cab3166,川普接受波蘭電視台訪問  呼籲波蘭裔美國人投他,國際焦點,2024-10-10 01:26:47+00:00,（中央社記者彭維楀華沙10日專電） 美國共和黨總統候選人川普近日接受波蘭共和廣播電視台採訪，敦促波蘭裔美國人在11月的美國大選中投票給他。他聲稱為波蘭人民貢獻許多，從軍售到駐軍波蘭、中止北溪2號管線等，都足以證明他對波蘭人民的支持。,https://www.cna.com.tw/news/aopl/202410100039.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/17/2024 12:21:53,國際新聞
