識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_051d5b47cbeac1e40c3e8fffe6676e32,澤倫斯基提勝利計畫 關鍵在北約,國際新聞,2024-10-17T21:30:00Z,"〔編譯陳成良／綜合報導〕烏克蘭總統澤倫斯基十七日抵達布魯塞爾，向歐盟與北約組織領袖提出其「勝利計畫」。澤倫斯基強調，烏克蘭必須在與俄羅斯和談之前，首先建立強勢地位。該計畫的核心是爭取加入北約，並希望獲准使用西方提供的長程飛彈攻擊俄羅斯境內的軍事目標。
在這場持續超過兩年半的戰爭中，烏軍在東部頓巴斯…",https://news.ltn.com.tw/news/world/paper/1672547,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/25/2024 12:21:25
news_4bf9ff086e65b7901ca5504558282307,賀錦麗上福斯新聞 專訪如電視辯論,國際新聞,2024-10-17T21:30:00Z,"〔編譯張沛元／綜合報導〕值此距離美國總統大選投票日不到三週之際，民主黨總統候選人、副總統賀錦麗十六日接受堪稱她投身總統選戰以來最具敵意的媒體訪談，與向來支持其共和黨對手、前總統川普的福斯新聞的首席政治主播拜爾（Bret Baier）就邊境、拜登總統的健康，以及川普是否危及美國民主等議題舌戰。
面對…",https://news.ltn.com.tw/news/world/paper/1672548,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/25/2024 12:21:25
news_35ff689e2569a3b815aadbb3f64469b9,美大選陷拉鋸戰 最新民調曝非裔男性倒戈川普,國際焦點,2024-10-14T09:06:29Z,（中央社華盛頓13日綜合外電報導）美國民主黨總統候選人賀錦麗與共和黨對手川普今天在搖擺州競選造勢，抓緊最後關頭爭取優勢。但最新民調顯示，賀錦麗在部分傳統民主黨選民群體中的支持度不如預期。,https://www.cna.com.tw/news/aopl/202410140246.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/21/2024 12:22:37
news_7fcd3308c6e54cab84ab002d3d95ca13,賀錦麗激怒戰術成功得分！華郵、紐時：川普情緒失守自損,國際新聞,2024-09-11T21:47:02Z,"首次上稿 9-11 21:57更新時間 9-12 05:47

美國民主黨總統候選人賀錦麗10日與選戰對手、共和黨候選人川普的辯論會上，成功針對川普最大弱點：自尊下手，激怒...…",https://news.ltn.com.tw/news/world/breakingnews/4797565,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_b70ca8dac978d91829b86bb0f99d6305,"泰勒絲表態挺賀錦麗 川普酸：我才不是她粉絲
",國際新聞,2024-09-11T18:30:04Z,"在美國流行音樂天后泰勒絲（Taylor Swift）表態支持民主黨總統候選人賀錦麗後，前總統川普今天回應說，他不是泰勒絲的粉絲．她將在市場方面為此付出代價。

      泰勒絲在昨天美...…",https://news.ltn.com.tw/news/world/breakingnews/4797637,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_49aec8e61851cf4655b23e31dd53020d,"川普賀錦麗辯論後再同台 出席911紀念活動暫擱歧見握手寒暄
",國際新聞,2024-09-11T19:36:03Z,"美國共和黨總統候選人川普與他的競選對手賀錦麗在結束激烈辯論後，今天皆出席紐約911恐攻週年紀念活動，暫時擱下政治歧見握手寒暄。

      今天是美國911恐攻事件23週年，川普、賀錦...…",https://news.ltn.com.tw/news/world/breakingnews/4797640,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_da7722778e9ada8a67793ef58a8aaa96,"泰勒絲IG發文挺賀錦麗 獲逾900萬個讚眾多名人響應
",國際新聞,2024-09-11T20:45:03Z,"美國流行音樂天后泰勒絲（Taylor Swift）在Instagram發文表態支持民主黨總統候選人賀錦麗後，這則貼文截至今天已獲得逾900萬個讚，按讚者包括許多影視體育名人。

    ...…",https://news.ltn.com.tw/news/world/breakingnews/4797642,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_bbec46fb574d0b61a4141e2b604a6f2b,泰勒絲表態支持賀錦麗 川普遭打臉嗆：我才不是她粉絲,國際新聞,2024-09-11T23:49:26Z,"蔡百靈／核稿編輯
美國總統大選辯論後，流行音樂天后泰勒絲（Taylor Swift）發文表態支持民主黨總統候選人賀錦麗，發文至今已有超過950萬人按讚，對此賀錦麗的對手、前總統川...…",https://news.ltn.com.tw/news/world/breakingnews/4797652,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_d1ca39516b1be206280fe17ae6a64ea9,AIT前主席薄瑞光：川普較不熱衷結盟 不利美對台政策,國際新聞,2024-09-12T00:25:25Z,"前美國在台協會主席薄瑞光今天在一場線上論壇說，美國與亞洲盟友結盟是其處理台灣議題的關鍵要點之一，共和黨總統候選人川普對此較不熱衷，若這一政策重點弱化，對美國的台灣政策是不利的。

   ...…",https://news.ltn.com.tw/news/world/breakingnews/4797679,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_0a636b3f582553412e86521c11280760,美司法部提交新起訴書！縮小對川普指控範圍　4刑事指控仍保留,國際新聞,2024-08-28T00:18:00Z,美國司法部的特別檢察官史密斯（Jack Smith）27日對川普提出了新的起訴書，指控他試圖推翻2020年總統選舉結果。這份起訴書保留了先前的刑事指控，但在最高法院的意見指引下，縮小了對川普的指控範圍，並刪除涉及川普試圖利用司法部權力來推翻選舉結果的部分。,https://www.ettoday.net/news/20240828/2805723.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/04/2024 12:19:23
news_4cc18fb4b1b10593e0a6010d096669db,入侵俄羅斯是「勝利計畫」第一步！　澤倫斯基曝4大步驟,國際新聞,2024-08-27T23:28:00Z,烏克蘭總統澤倫斯基（Volodymyr Zelensky）表示，對俄羅斯庫爾斯克地區的入侵是基輔勝利計劃的第一部分，他打算9九月向美國總統拜登（Joe Biden）提交該計劃。,https://www.ettoday.net/news/20240828/2805735.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/04/2024 12:19:23
news_10d93e3d0ea815c97f7fbf0dcab6d09b,賀錦麗5大警訊！外媒點出「缺乏具體政策」　2族群仍是川普鐵粉,國際新聞,2024-08-28T07:43:00Z,美國副總統賀錦麗22日正式接受提名，代表民主黨參加總統大選。政客（Politico）分析她所面臨的5大警訊，包括依然未能提出具體政策，川普依然獲得更多白人與男性選民支持等，「儘管民主黨全代會令人振奮，賀錦麗的競選團隊仍把她當作弱勢的一方來行銷。」,https://www.ettoday.net/news/20240828/2805776.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/04/2024 12:19:23
news_d6562aecc1f96c10289574e8c0d85027,尷尬！賀錦麗副手華茲遠房親戚「穿川普上衣」力挺,國際新聞,2024-09-12T07:56:18Z,"郭顏慧／核稿編輯
美國總統大選辯論會甫結束，CNN辯論民調顯示有63％受訪者認為民主黨總統候選人賀錦麗表現較佳，不過近期社群平台瘋傳1張照片，即民主黨副總統候選人華茲（Tim ...…",https://news.ltn.com.tw/news/world/breakingnews/4798091,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_afef464fe452c85d0c4fba66e7b00786,福斯新聞測試驚人發現 川普移民政策意外獲獨立選民支持,國際新聞,2024-09-12T13:31:02Z,"美國前總統川普與副總統賀錦麗於10日晚間在賓州費城進行首場總統大選辯論，川普在辯論中猛烈抨擊拜登政府的移民政策，指責導致美國境內犯罪率上升，並引發選民對移民問題的關注。

...…",https://news.ltn.com.tw/news/world/breakingnews/4798644,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/19/2024 12:20:41
news_5b85ba75d10f64912c1b00fe09b71581,川普競選辦公室遭非法入侵！　警公布嫌犯照片：極不尋常,國際新聞,2024-08-14T02:26:00Z,美國前總統川普位於維吉尼亞州的競選辦公室上周末發生了一起入室盜竊案。目前，當地警方已公布嫌犯照片，並調查川普等人是否有物品被盜。,https://www.ettoday.net/news/20240814/2796927.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/21/2024 12:23:29
news_72606f6ff6848d047ccc3d444047814c,川普加州造勢再躲暗殺 嫌犯遭捕後喊冤：我支持川普,國際焦點,2024-10-14T08:02:14Z,（中央社洛杉磯13日綜合外電報導）美國前總統、共和黨總統候選人川普在加州舉辦造勢活動時，一名男子米勒遭控企圖暗殺川普，他接受福斯新聞網數位頻道採訪時表示他是川普的支持者，且針對他的指控不實。,https://www.cna.com.tw/news/aopl/202410140210.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/21/2024 12:22:37
news_ec51313c9b95a5e07c66ee0472a60b1a,菲駐美大使：美國大選結果不影響雙方堅穩關係,國際焦點,2024-11-03T05:57:08Z,（中央社記者林行健馬尼拉3日專電）美國即將舉行總統大選，與中國存有南海爭議、需要美國支持的菲律賓，同樣關注選情。菲律賓駐美大使羅慕德斯今天表示，美國總統大選不論結果如何，菲美聯盟關係都會維持堅穩。,https://www.cna.com.tw/news/aopl/202411030089.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/10/2024 12:23:12
news_a586083537b77f5fffb248198ee04823,加州共和黨選民比重20年首見回升 進步派遇挑戰,國際焦點,2024-11-03T06:56:38Z,（中央社記者張欣瑜舊金山2日專電）加州官方公布的數據顯示，今年共和黨登記選民的比重雖仍遠不如民主黨，但在同一基準上出現20年來首見的回升。加大柏克萊分校智庫民調則顯示，賀錦麗在加州的支持率較4年前的拜登低，在亞裔中的支持度下降。,https://www.cna.com.tw/news/aopl/202411030103.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/10/2024 12:23:12
news_d385afb2c1cef3e1a83eb64e4542bec7,馬斯克資助團體遭點名散布假消息 蓄意抹黑賀錦麗,國際焦點,2024-11-03T08:10:04Z,（中央社華盛頓3日綜合外電報導）美國大選將於5日登場。追蹤競選資金的非營利網站Open Secrets表示，最近出現看似宣傳賀錦麗政治理念的網站，但這實際上是來自挺川億萬富豪馬斯克相關黑錢組織的假消息。,https://www.cna.com.tw/news/aopl/202411030115.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/10/2024 12:23:12
